TIPO;COD_AFIRMACAO;AFIRMACAO;DIMENSAO_SAUDE_EMOCIONAL
ARQUETIPOS;Q01;01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe;Comunicação Positiva
ARQUETIPOS;Q02;02. Meu líder incentiva os integrantes de sua equipe a decidirem.;Ambiente Psicológico Seguro
ARQUETIPOS;Q03;03. Meu líder sempre se preocupa com as pessoas.;Suporte Emocional
ARQUETIPOS;Q04;04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.;Prevenção de Estresse
ARQUETIPOS;Q05;05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.;Comunicação Positiva
ARQUETIPOS;Q06;06. Meu líder permite que cada integrante da sua equipe realize o trabalho da maneira que preferirem.;Prevenção de Estresse
ARQUETIPOS;Q07;07. Antes de decidir, meu líder busca a percepção dos integrantes de sua equipe e de outros profissionais.;Comunicação Positiva
ARQUETIPOS;Q08;08. Meu líder aponta a direção que acredita ser a melhor maneira de os integrantes da sua equipe realizarem seus trabalhos.;Comunicação Positiva
ARQUETIPOS;Q09;09. Meu líder procura atuar na solução de conflitos em sua equipe.;Prevenção de Estresse
ARQUETIPOS;Q10;10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.;Prevenção de Estresse
ARQUETIPOS;Q11;11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.;Ambiente Psicológico Seguro
ARQUETIPOS;Q12;12. Meu líder se esforça para desenvolver as pessoas.;Ambiente Psicológico Seguro
ARQUETIPOS;Q13;13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.;Suporte Emocional
ARQUETIPOS;Q14;14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.;Prevenção de Estresse
ARQUETIPOS;Q15;15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.;Ambiente Psicológico Seguro
ARQUETIPOS;Q16;16. Meu gestor permite que os integrantes da sua equipe o procurem para falar sobre problemas pessoais.;Suporte Emocional
ARQUETIPOS;Q17;17. Meu líder sugere, mas não se preocupa se sua sugestão será seguida.;Prevenção de Estresse
ARQUETIPOS;Q18;18. Meu líder dedica tempo em obter alternativas de treinamento para os integrantes da sua equipe, ainda que ocupe horas de trabalho para participar.;Prevenção de Estresse
ARQUETIPOS;Q19;19. Meu líder investe tempo em alavancar as pessoas que não estão entregando adequadamente.;Suporte Emocional
ARQUETIPOS;Q20;20. Meu líder constantemente sugere alternativas para desenvolvimento profissional aos integrantes da sua equipe, sempre visando o futuro.;Comunicação Positiva
ARQUETIPOS;Q21;21. Meu líder está sempre a par sobre o que está ocorrendo na empresa e informa de maneira clara os integrantes da sua equipe.;Comunicação Positiva
ARQUETIPOS;Q22;22. Meu líder crê que o que os integrantes da sua equipe sempre tem o mesmo peso de importância em relaçao à entrega de um trabalho.;Ambiente Psicológico Seguro
ARQUETIPOS;Q23;23. Meu líder sempre conversa sobre como seguir a visão, missão e valores da empresa ajudará os integrantes da sua equipe.;Comunicação Positiva
ARQUETIPOS;Q24;24. Meu líder crê que os integrantes da sua equipe entregarão suas atividades sem a necessidade de ficar de olho em cada detalhe.;Prevenção de Estresse
ARQUETIPOS;Q25;25. Meu líder constantemente verifica o desempenho dos integrantes da sua equipe relacionado às atividades sob suas responsabilidades.;Prevenção de Estresse
ARQUETIPOS;Q26;26. Ainda que os integrantes da sua equipe estejam entregando em bom nível, meu líder se envolve e sempre se dispóe a ajudar.;Suporte Emocional
ARQUETIPOS;Q27;27. Meu líder gosta que as pessoas participem da maior parte das decisões.;Ambiente Psicológico Seguro
ARQUETIPOS;Q28;28. Meu líder considera a percepção dos integrantes da sua equipe sobre se as diretrizes da empresa os engajam.;Ambiente Psicológico Seguro
ARQUETIPOS;Q29;29. Meu lider é tão ou mais aplicado que os integrantes da sua equipe.;Equilíbrio Vida- Trabalho
ARQUETIPOS;Q30;30. Meu líder sempre alerta de forma construtiva para que os integrantes da sua equipe possam se desenvolver.;Comunicação Positiva
ARQUETIPOS;Q31;31. Meu lider sempre que possível desenvolve relação pessoal com os integrantes da sua equipe.;Suporte Emocional
ARQUETIPOS;Q32;32. Quando temos um novo membro na equipe, meu lider sempre procura uma forma de a equipe recebe-lo bem.;Ambiente Psicológico Seguro
ARQUETIPOS;Q33;33. Meu líder investe em explicar o motivo pelo qual as decisões foram tomadas e como elas atendem os interesses da empresa.;Comunicação Positiva
ARQUETIPOS;Q34;34. Meu líder sempre fornece orientação positiva para os integrantes da sua equipe.;Comunicação Positiva
ARQUETIPOS;Q35;35. Meu líder, quando viável, aceita propostas de inovação dos integrantes da sua equipe.;Prevenção de Estresse
ARQUETIPOS;Q36;36. Meu líder dedica tempo a ensinar novos integramtes do seu time que estão precisando de orientações.;Prevenção de Estresse
ARQUETIPOS;Q37;37. Meu gestor tem persuasão adequada para transmitir a missão e a visão da empresa a ser seguida.;Comunicação Positiva
ARQUETIPOS;Q38;38. Meu líder aceita que os integrantes da sua equipe decidam por si próprio.;Prevenção de Estresse
ARQUETIPOS;Q39;39. Meu Líder conta com os integrantes da sua equipe para mantê-lo informado.;Ambiente Psicológico Seguro
ARQUETIPOS;Q40;40. Meu Líder faz acompanhamento constante de participação em treinamentos programados para mim.;Prevenção de Estresse
ARQUETIPOS;Q41;41. Meu Líder faz todo o possivel para permitir que eu resolva problemas particulares urgentes.;Suporte Emocional
ARQUETIPOS;Q42;42. Meu Líder promove um ambiente de aprendizado continuo (Long Life Learning).;Prevenção de Estresse
ARQUETIPOS;Q43;43. Quando as pessoas não aparentam estar bem, Meu Líder percebe e oferece ajuda.;Suporte Emocional
ARQUETIPOS;Q44;44. Mesmo quando fornece feedback não positivo, Meu Líder é muito cuidadoso com as palavras.;Ambiente Psicológico Seguro
ARQUETIPOS;Q45;45. Quando me interesso por um treinamento, Meu Líder sempre analisa a possibilidade de aprova-lo.;Prevenção de Estresse
ARQUETIPOS;Q46;46. Meu Líder explica a solução de um problema quantas vezes for necessário para o meu aprendizado;Ambiente Psicológico Seguro
ARQUETIPOS;Q47;47. Em períodos de baixa demanda, Meu Líder investe tempo em nos capacitar tecnicamente.;Equilíbrio Vida- Trabalho
